emerald_id,name,ra,dec,z_spec,status,priority,jwst_program_id,notes,ancillary_assets,f200w,f444w
EMR-27,JADES-1000027,189.135479,62.213045,4.646,queued,medium,7935,,"[{""asset_type"": ""image"", ""label"": ""OBS4 Source Image"", ""storage_key"": ""targets/EMR-27/images/7935-obs4_ID-1000027.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs4_ID-1000027.jpg"", ""access_level"": ""team""}, {""asset_type"": ""image"", ""label"": ""OBS5 Source Image"", ""storage_key"": ""targets/EMR-27/images/7935-obs5_ID-1000027.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs5_ID-1000027.jpg"", ""access_level"": ""team""}]",26.79,26.97
EMR-30,JADES-1000030,189.132845,62.213116,5.605,queued,medium,7935,,"[{""asset_type"": ""image"", ""label"": ""OBS4 Source Image"", ""storage_key"": ""targets/EMR-30/images/7935-obs4_ID-1000030.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs4_ID-1000030.jpg"", ""access_level"": ""team""}, {""asset_type"": ""image"", ""label"": ""OBS5 Source Image"", ""storage_key"": ""targets/EMR-30/images/7935-obs5_ID-1000030.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs5_ID-1000030.jpg"", ""access_level"": ""team""}]",28.45,28.13
EMR-35,JADES-1000035,189.11861,62.213252,5.548,queued,high,7935,,"[{""asset_type"": ""image"", ""label"": ""OBS4 Source Image"", ""storage_key"": ""targets/EMR-35/images/7935-obs4_ID-1000035.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs4_ID-1000035.jpg"", ""access_level"": ""team""}, {""asset_type"": ""image"", ""label"": ""OBS5 Source Image"", ""storage_key"": ""targets/EMR-35/images/7935-obs5_ID-1000035.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs5_ID-1000035.jpg"", ""access_level"": ""team""}]",28.43,28.39
EMR-62,JADES-1000062,189.128468,62.214105,5.035,queued,low,7935,,"[{""asset_type"": ""image"", ""label"": ""OBS4 Source Image"", ""storage_key"": ""targets/EMR-62/images/7935-obs4_ID-1000062.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs4_ID-1000062.jpg"", ""access_level"": ""team""}, {""asset_type"": ""image"", ""label"": ""OBS5 Source Image"", ""storage_key"": ""targets/EMR-62/images/7935-obs5_ID-1000062.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs5_ID-1000062.jpg"", ""access_level"": ""team""}]",27.66,27.09
EMR-110,JADES-1000110,189.146371,62.215507,4.064,queued,low,7935,,"[{""asset_type"": ""image"", ""label"": ""OBS5 Source Image"", ""storage_key"": ""targets/EMR-110/images/7935-obs5_ID-1000110.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs5_ID-1000110.jpg"", ""access_level"": ""team""}]",25.27,24.95
EMR-138,JADES-1000138,189.12617,62.215937,4.439,queued,low,7935,,"[{""asset_type"": ""image"", ""label"": ""OBS4 Source Image"", ""storage_key"": ""targets/EMR-138/images/7935-obs4_ID-1000138.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs4_ID-1000138.jpg"", ""access_level"": ""team""}, {""asset_type"": ""image"", ""label"": ""OBS5 Source Image"", ""storage_key"": ""targets/EMR-138/images/7935-obs5_ID-1000138.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs5_ID-1000138.jpg"", ""access_level"": ""team""}]",28.92,29.07
EMR-163,JADES-1000163,189.146372,62.216379,6.023,queued,medium,7935,,"[{""asset_type"": ""image"", ""label"": ""OBS5 Source Image"", ""storage_key"": ""targets/EMR-163/images/7935-obs5_ID-1000163.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs5_ID-1000163.jpg"", ""access_level"": ""team""}]",27.92,28.10
EMR-226,JADES-1000226,189.144155,62.2175,4.856,queued,low,7935,,"[{""asset_type"": ""image"", ""label"": ""OBS5 Source Image"", ""storage_key"": ""targets/EMR-226/images/7935-obs5_ID-1000226.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs5_ID-1000226.jpg"", ""access_level"": ""team""}]",28.01,28.08
EMR-326,JADES-1000326,189.062364,62.218642,4.727,queued,medium,7935,,"[{""asset_type"": ""image"", ""label"": ""OBS3 Source Image"", ""storage_key"": ""targets/EMR-326/images/7935-obs3_ID-1000326.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs3_ID-1000326.jpg"", ""access_level"": ""team""}]",29.28,28.83
EMR-372,JADES-1000372,189.151519,62.219276,4.413,queued,low,7935,,"[{""asset_type"": ""image"", ""label"": ""OBS5 Source Image"", ""storage_key"": ""targets/EMR-372/images/7935-obs5_ID-1000372.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs5_ID-1000372.jpg"", ""access_level"": ""team""}]",26.98,27.09
EMR-390,JADES-1000390,189.060081,62.219456,4.913,queued,medium,7935,,"[{""asset_type"": ""image"", ""label"": ""OBS3 Source Image"", ""storage_key"": ""targets/EMR-390/images/7935-obs3_ID-1000390.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs3_ID-1000390.jpg"", ""access_level"": ""team""}]",26.34,26.23
EMR-395,JADES-1000395,189.120784,62.219539,5.435,queued,high,7935,,"[{""asset_type"": ""image"", ""label"": ""OBS3 Source Image"", ""storage_key"": ""targets/EMR-395/images/7935-obs3_ID-1000395.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs3_ID-1000395.jpg"", ""access_level"": ""team""}, {""asset_type"": ""image"", ""label"": ""OBS4 Source Image"", ""storage_key"": ""targets/EMR-395/images/7935-obs4_ID-1000395.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs4_ID-1000395.jpg"", ""access_level"": ""team""}]",28.56,28.27
EMR-441,JADES-1000441,189.138282,62.219845,4.209,queued,low,7935,,"[{""asset_type"": ""image"", ""label"": ""OBS5 Source Image"", ""storage_key"": ""targets/EMR-441/images/7935-obs5_ID-1000441.jpg"", ""preview_url"": ""/api/targets/image?file=7935-obs5_ID-1000441.jpg"", ""access_level"": ""team""}]",27.99,28.30
